Timestamp,gyro.xRaw,gyro.yRaw,gyro.zRaw,motor.m1,motor.m3,pm.vbat
7569329,1,-1,2,0,0,4.101466178894043
7569339,-1,1,4,0,0,4.101466178894043
7569349,-11,7,-1,0,0,4.101466178894043
7569359,-8,7,-3,0,0,4.101466178894043
7569369,-3,14,-13,0,0,4.101466178894043
7569379,-6,8,-9,0,0,4.101466178894043
7569389,-2,19,-14,0,0,4.101466178894043
7569399,-2,35,-18,0,0,4.101466178894043
7569409,-7,32,-19,0,0,4.101466178894043
7569419,-13,34,-24,0,0,4.101466178894043
7569429,-8,35,-32,0,0,4.106744766235352
7569439,-5,43,-33,0,0,4.101466178894043
7569449,-11,39,-37,0,0,4.101466178894043
7569459,-11,53,-42,0,0,4.101466178894043
7569469,-6,44,-51,0,0,4.101466178894043
7569479,-11,47,-45,0,0,4.101466178894043
7569489,-12,54,-53,0,0,4.101466178894043
7569499,-18,43,-60,0,0,4.101466178894043
7569509,-16,42,-62,0,0,4.106744766235352
7569519,-14,42,-63,0,0,4.106744766235352
7569529,-8,45,-64,0,0,4.101466178894043
7569539,-5,48,-62,0,0,4.101466178894043
7569549,-13,38,-70,0,0,4.101466178894043
7569559,-14,39,-73,0,0,4.106744766235352
7569569,-9,38,-82,0,0,4.101466178894043
7569579,-20,27,-83,0,0,4.101466178894043
7569589,-24,30,-83,0,0,4.101466178894043
7569599,-20,34,-89,0,0,4.101466178894043
7569609,-19,25,-84,0,0,4.101466178894043
7569619,-16,33,-89,0,0,4.101466178894043
7569629,-12,21,-90,0,0,4.101466178894043
7569639,-9,24,-93,0,0,4.101466178894043
7569649,-14,19,-103,0,0,4.101466178894043
7569659,-25,14,-96,0,0,4.101466178894043
7569669,-17,15,-103,0,0,4.101466178894043
7569679,-14,20,-103,0,0,4.101466178894043
7569689,-21,19,-103,0,0,4.101466178894043
7569699,-16,19,-111,0,0,4.101466178894043
7569709,-9,22,-109,0,0,4.101466178894043
7569719,-18,21,-112,0,0,4.101466178894043
7569729,-22,34,-110,0,0,4.101466178894043
7569739,-27,27,-118,0,0,4.101466178894043
7569749,-14,25,-123,0,0,4.101466178894043
7569759,-20,36,-118,0,0,4.101466178894043
7569769,-18,31,-118,0,0,4.101466178894043
7569779,-18,24,-124,0,0,4.101466178894043
7569789,-20,34,-117,0,0,4.101466178894043
7569799,-14,28,-119,0,0,4.101466178894043
7569809,-17,28,-126,0,0,4.101466178894043
7569819,-12,22,-126,0,0,4.101466178894043
7569829,-20,21,-134,0,0,4.101466178894043
7569839,-19,19,-128,0,0,4.101466178894043
7569849,-12,23,-128,0,0,4.101466178894043
7569859,-12,1,-129,0,0,4.101466178894043
7569869,-15,5,-137,0,0,4.101466178894043
7569879,-12,3,-132,0,0,4.101466178894043
7569889,-23,-2,-139,0,0,4.101466178894043
7569899,-20,-8,-133,0,0,4.101466178894043
7569909,-20,-10,-140,0,0,4.101466178894043
7569919,-12,-15,-132,0,0,4.101466178894043
7569929,-6,-20,-140,0,0,4.101466178894043
7569939,-8,-24,-134,0,0,4.101466178894043
7569949,-13,-25,-139,0,0,4.101466178894043
7569959,-19,-42,-133,0,0,4.101466178894043
7569969,-10,-45,-137,0,0,4.101466178894043
7569979,-12,-34,-135,0,0,4.101466178894043
7569989,-12,-42,-136,0,0,4.101466178894043
7569999,-14,-45,-137,0,0,4.101466178894043
7570009,-10,-51,-133,0,0,4.101466178894043
7570019,-5,-41,-140,0,0,4.101466178894043
7570029,-4,-41,-140,0,0,4.101466178894043
7570039,-11,-41,-135,0,0,4.101466178894043
7570049,-11,-38,-131,0,0,4.101466178894043
7570059,-9,-38,-127,0,0,4.101466178894043
7570069,-11,-41,-127,0,0,4.101466178894043
7570079,-2,-37,-131,0,0,4.101466178894043
7570089,-8,-32,-131,0,0,4.101466178894043
7570099,-6,-28,-128,0,0,4.101466178894043
7570109,8,-19,-125,0,0,4.101466178894043
7570119,-2,-31,-129,0,0,4.101466178894043
7570129,-6,-32,-116,0,0,4.101466178894043
7570139,-9,-29,-121,0,0,4.101466178894043
7570149,-7,-17,-124,0,0,4.101466178894043
7570159,-5,-23,-114,0,0,4.101466178894043
7570169,0,-24,-112,0,0,4.101466178894043
7570179,0,-34,-108,0,0,4.101466178894043
7570189,6,-27,-113,0,0,4.101466178894043
7570199,2,-23,-111,0,0,4.101466178894043
7570209,1,-29,-111,0,0,4.101466178894043
7570219,-2,-33,-104,0,0,4.101466178894043
7570229,-8,-27,-110,0,0,4.101466178894043
7570239,-4,-35,-96,0,0,4.101466178894043
7570249,1,-33,-105,0,0,4.101466178894043
7570259,1,-40,-95,0,0,4.101466178894043
7570269,2,-39,-91,0,0,4.101466178894043
7570279,0,-42,-94,0,0,4.101466178894043
7570289,-7,-38,-88,0,0,4.101466178894043
7570299,0,-39,-89,0,0,4.101466178894043
7570309,-9,-39,-82,0,0,4.101466178894043
7570319,-8,-34,-78,0,0,4.101466178894043
7570329,-4,-32,-74,0,0,4.101466178894043
7570339,-3,-29,-76,0,0,4.101466178894043
7570349,-1,-38,-70,0,0,4.101466178894043
7570359,3,-32,-63,0,0,4.101466178894043
7570369,5,-25,-69,0,0,4.101466178894043
7570379,-13,-24,-60,0,0,4.101466178894043
7570389,-6,-20,-61,0,0,4.101466178894043
7570399,6,-16,-52,0,0,4.101466178894043
7570409,6,-8,-51,0,0,4.101466178894043
7570419,6,-4,-55,0,0,4.101466178894043
7570429,7,-2,-47,0,0,4.101466178894043
7570439,9,0,-36,0,0,4.101466178894043
7570449,-1,14,-37,0,0,4.101466178894043
7570459,-14,21,-37,0,0,4.101466178894043
7570469,-25,22,-25,0,0,4.101466178894043
7570479,-17,23,-22,0,0,4.101466178894043
7570489,1,30,-18,0,0,4.101466178894043
7570499,3,31,-22,0,0,4.101466178894043
7570509,8,36,-17,0,0,4.101466178894043
7570519,-2,37,-9,0,0,4.101466178894043
7570529,-4,38,-7,0,0,4.101466178894043
7570539,-11,41,-6,0,0,4.101466178894043
7570549,-16,35,-4,0,0,4.101466178894043
7570559,-23,39,8,0,0,4.101466178894043
7570569,-9,34,6,0,0,4.101466178894043
7570579,1,36,11,0,0,4.101466178894043
7570589,12,21,8,0,0,4.101466178894043
